2018-08-28 15:06:09 - PHP Notice:  Undefined variable: file in E:\xampp\htdocs\hikefun\admin\controller\extension\module\pavothemer.php on line 2300
2018-08-28 15:06:10 - PHP Notice:  Undefined variable: file in E:\xampp\htdocs\hikefun\admin\controller\extension\module\pavothemer.php on line 2300
2018-08-28 15:12:39 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:12:39 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:14:12 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:14:12 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:17:33 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:17:33 - PHP Notice:  Array to string conversion in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 120
2018-08-28 15:17:33 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:18:07 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:18:07 - PHP Notice:  Array to string conversion in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 120
2018-08-28 15:18:07 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:23:37 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:23:37 - PHP Notice:  Array to string conversion in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 120
2018-08-28 15:23:37 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:24:07 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:24:07 - PHP Notice:  Array to string conversion in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 120
2018-08-28 15:24:07 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:24:12 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
2018-08-28 15:24:12 - PHP Notice:  Array to string conversion in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 120
2018-08-28 15:24:12 - PHP Warning:  trim() expects parameter 1 to be string, array given in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 122
2018-08-28 15:24:45 - PHP Notice:  Undefined offset: 4 in E:\xampp\htdocs\hikefun\catalog\controller\extension\module\pavuserpopup.php on line 119
